DATE,SALES
1/1/19,0
1/2/19,1
1/3/19,2
1/4/19,3
1/5/19,1
1/6/19,1
1/7/19,4
1/8/19,1
1/9/19,2
1/10/19,2
1/11/19,0
1/12/19,2
1/13/19,0
1/14/19,1
1/15/19,4
1/16/19,1
1/17/19,1
1/18/19,2
1/19/19,1
1/20/19,2
1/21/19,2
1/22/19,1
1/23/19,1
1/24/19,1
1/25/19,3
1/26/19,6
1/27/19,1
1/28/19,4
1/29/19,4
1/30/19,2
1/31/19,7
2/1/19,3
2/2/19,2
2/3/19,0
2/4/19,2
2/5/19,0
2/6/19,2
2/7/19,4
2/8/19,1
2/9/19,3
2/10/19,3
2/11/19,0
2/12/19,2
2/13/19,4
2/14/19,4
2/15/19,2
2/16/19,12
2/17/19,4
2/18/19,4
2/19/19,5
2/20/19,0
2/21/19,2
2/22/19,6
2/23/19,6
2/24/19,5
2/25/19,3
2/26/19,6
2/27/19,1
2/28/19,1
3/1/19,3
3/2/19,4
3/3/19,6
3/4/19,5
3/5/19,3
3/6/19,4
3/7/19,7
3/8/19,6
3/9/19,3
3/10/19,3
3/11/19,4
3/12/19,11
3/13/19,8
3/14/19,3
3/15/19,8
3/16/19,6
3/17/19,16
3/18/19,5
3/19/19,6
3/20/19,6
3/21/19,5
3/22/19,5
3/23/19,16
3/24/19,16
3/25/19,4
3/26/19,11
3/27/19,0
3/28/19,13
3/29/19,7
3/30/19,10
3/31/19,6
4/1/19,8
4/2/19,6
4/3/19,6
4/4/19,8
4/5/19,6
4/6/19,26
4/7/19,9
4/8/19,12
4/9/19,7
4/10/19,5
4/11/19,7
4/12/19,11
4/13/19,20
4/14/19,5
4/15/19,9
4/16/19,9
4/17/19,12
4/18/19,8
4/19/19,12
4/20/19,6
4/21/19,22
4/22/19,15
4/23/19,26
4/24/19,10
4/25/19,12
4/26/19,3
4/27/19,14
4/28/19,28
4/29/19,11
4/30/19,25
5/1/19,12
5/2/19,10
5/3/19,13
5/4/19,5
5/5/19,11
5/6/19,26
5/7/19,21
5/8/19,12
5/9/19,7
5/10/19,5
5/11/19,23
5/12/19,10
5/13/19,11
5/14/19,6
5/15/19,8
5/16/19,8
5/17/19,16
5/18/19,22
5/19/19,30
5/20/19,9
5/21/19,7
5/22/19,16
5/23/19,16
5/24/19,12
